rank,time_percent,total_time_ms,calls,average_us,api_name
1,64.6,2932.417805,752,3899.4918,cudaStreamSynchronize
2,20.3,923.495609,4,230873.90230000002,cudaMallocHost
3,7.2,328.284843,4,82071.2108,cudaFreeHost
4,2.6,118.597866,4351,27.2576,cudaLaunchKernelExC_v11060
5,1.8,83.740511,1722,48.6298,cudaLaunchKernel
6,1.1,52.125278,18,2895.8487999999998,cuLibraryLoadData
7,0.9,38.735385,12,3227.9487999999997,cudaFree
8,0.5,21.668122,142,152.5924,cuKernelGetFunction
9,0.4,18.787419,877,21.422400000000003,cudaMemcpyAsync
10,0.3,14.082609,11,1280.2372,cudaMalloc
11,0.1,3.885548,21,185.0261,cudaEventRecord
12,0.0,0.986674,142,6.9483999999999995,cuLaunchKernel
13,0.0,0.559189,1,559.189,cuMemUnmap
14,0.0,0.23917,32,7.4741,cuLibraryGetKernel
15,0.0,0.213,2,106.5,cuMemCreate
16,0.0,0.122242,18,6.7912,cudaEventCreateWithFlags
17,0.0,0.120705,21,5.7479,cudaMemsetAsync
18,0.0,0.099351,892,0.1114,cuGetProcAddress_v2
19,0.0,0.060373,41,1.4725,cudaGetDeviceProperties_v12000
20,0.0,0.031323,2,15.6615,cuMemSetAccess
21,0.0,0.016008,4,4.002,cudaDeviceSynchronize
22,0.0,0.014846,1,14.846,cudaStreamDestroy
23,0.0,0.009698,1,9.698,cuCtxSynchronize
24,0.0,0.009598,18,0.5332,cudaEventDestroy
25,0.0,0.008132,105,0.07740000000000001,cuStreamGetCaptureInfo_v2
26,0.0,0.008077,2,4.0385,cuMemMap
27,0.0,0.007867,1,7.867,cudaStreamCreateWithFlags
28,0.0,0.006871,1,6.871,cuMemAddressReserve
29,0.0,0.005309,1,5.309,cuMemAddressFree
30,0.0,0.003171,4,0.7928,cuInit
31,0.0,0.002551,3,0.8503,cuModuleGetLoadingMode
32,0.0,0.002528,1,2.528,cudaEventQuery
33,0.0,0.002157,1,2.157,cuMemGetAllocationGranularity
34,0.0,0.00063,3,0.21,cuDeviceGetLuid
35,0.0,0.000507,2,0.2535,cudaGetDriverEntryPoint_v11030
36,0.0,0.000308,2,0.154,cuMemRelease
