
NOTICE: Existing SQLite export found: E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite
        It is assumed file was previously exported from: E:\flux\profiling\runs\nsys-season-001-v1\trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_api_trace.py]... 
Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
286797746,2264,cuModuleGetLoadingMode,0,1,33016,32420,,
286866392,267,cuDeviceGetLuid,0,118,33016,32420,,
286930781,852,cudaGetDeviceProperties_v12000,0,120,33016,32420,,
286944711,2157,cuMemGetAllocationGranularity,0,123,33016,32420,,
286947054,436,cudaGetDeviceProperties_v12000,0,124,33016,32420,,
286958449,407,cudaGetDeviceProperties_v12000,0,126,33016,32420,,
294465307,3090,cudaGetDeviceProperties_v12000,0,128,33016,32420,,
330738481,5247,cudaGetDeviceProperties_v12000,0,129,33016,32420,,
330755084,507,cudaGetDeviceProperties_v12000,0,130,33016,32420,,
330760535,425,cudaGetDeviceProperties_v12000,0,131,33016,32420,,
333829569,1300,cudaGetDeviceProperties_v12000,0,132,33016,32420,,
334699079,715,cudaGetDeviceProperties_v12000,0,133,33016,32420,,
334700784,445,cudaGetDeviceProperties_v12000,0,134,33016,32420,,
334704561,418,cudaGetDeviceProperties_v12000,0,135,33016,32420,,
523492833,4603,cudaGetDeviceProperties_v12000,0,136,33016,32420,,
523698312,764,cudaGetDeviceProperties_v12000,0,137,33016,32420,,
523816391,581,cudaGetDeviceProperties_v12000,0,138,33016,32420,,
523819073,380,cudaGetDeviceProperties_v12000,0,139,33016,32420,,
523941675,475,cudaGetDeviceProperties_v12000,0,140,33016,32420,,
523986175,466,cudaGetDeviceProperties_v12000,0,141,33016,32420,,
523987556,386,cudaGetDeviceProperties_v12000,0,142,33016,32420,,
524044379,442,cudaGetDeviceProperties_v12000,0,143,33016,32420,,
524051041,688,cudaGetDeviceProperties_v12000,0,144,33016,32420,,
524220638,467,cudaGetDeviceProperties_v12000,0,145,33016,32420,,
524269400,455,cudaGetDeviceProperties_v12000,0,146,33016,32420,,
524270732,390,cudaGetDeviceProperties_v12000,0,147,33016,32420,,
560077781,76701296,cudaMallocHost,0,148,33016,32420,,
839493024,278322,cudaMalloc,0,151,33016,32420,,
839797735,40951,cudaMemcpyAsync,0,153,33016,32420,,
839841055,1834431,cudaStreamSynchronize,0,154,33016,32420,,
841678824,15365,cudaMemcpyAsync,0,156,33016,32420,,
841694528,72333,cudaStreamSynchronize,0,157,33016,32420,,
841767417,6783,cudaMemcpyAsync,0,159,33016,32420,,
