
NOTICE: Existing SQLite export found: E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite
        It is assumed file was previously exported from: E:\flux\profiling\runs\nsys-season-001-v1\trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_gb_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
19.5,486737257,80,6084215.7,5907624.0,5890137,7098524,249562.5,4320    1    1,  32    8    1,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
13.8,344500727,100,3445007.3,3325389.5,3260420,4192988,214057.4,  72    1    1,  32    4    1,"void flash_attn_ext_f16<(int)128, (int)128, (int)64, (int)1, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)"
9.3,233113846,80,2913923.1,2840467.0,2814503,3459637,140589.2, 480    1    1,  32    8    1,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
4.8,119563842,500,239127.7,226638.5,220879,722408,46905.5,122880    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
3.4,86163123,10,8616312.3,8607611.5,8433031,8838156,146463.3,   5  512  512, 256    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
3.3,82025329,360,227848.1,222926.5,175155,655502,41583.8,30720    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
2.6,65164216,20,3258210.8,3151517.0,3110000,3734944,193935.9,2304    1    1,  32    8    1,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
2.3,57972860,80,724660.8,707465.5,693611,1131753,71586.6,  36 2560    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
2.3,57894270,80,723678.4,697178.0,689482,1159462,93243.1,122880    1    1, 256    1    1,"void concat_cont<unsigned int, (int)0>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
2.3,56915877,80,711448.5,680795.5,677132,1129769,100149.7,368640    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
2.1,52337677,160,327110.5,318824.0,314504,764069,56123.4,  24 2560    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
2.0,50746558,400,126866.4,130502.0,103640,533751,34301.9,   1    1 30720,   1   64    2,"void k_bin_bcast<&op_repeat, float, float, float, >(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.7,43653684,40,1091342.1,1052895.0,533142,1885583,561355.9, 384    1    1,  32    8    1,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
1.7,41556973,400,103892.4,102312.0,93625,596498,36089.2,1280   24    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.5,38197685,80,477471.1,466891.5,456668,836672,52936.8,92160    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
1.4,34449966,8,4306245.8,4265312.5,4077214,4609591,193644.1,   9  256  256, 256    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
1.4,33979288,52,653447.8,328087.0,23070,3961385,816726.5,  32    1    1,1024    1    1,"void group_norm_f32<(int)1024>(const float *, float *, int, int, float)"
1.3,33499456,2,16749728.0,16749728.0,16709315,16790141,57152.6,   9  512  512, 256    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
1.3,33344369,20,1667218.4,1579798.0,1542921,2437508,216554.1,1152    1    1,  32    8    1,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
1.2,30346668,80,379333.3,373939.0,370308,586099,31755.1,2560   24    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
1.0,25213570,200,126067.9,127446.5,117142,330534,19918.0,122880    1    1,  64    1    1,"void cpy_scalar_contiguous<float, __half>(const char *, char *, long long)"
0.9,22001153,54,407428.8,397744.0,391361,614446,46859.4, 304    1    1,  32    8    1,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.8,20749461,160,129684.1,136901.5,102584,315176,23859.8,  12 2560    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.8,20638671,10,2063867.1,2047679.5,2018145,2243697,63964.4,  18  128  128, 256    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.7,17476504,20,873825.2,830624.0,816545,1276990,121244.6, 576    1    1,  32    8    1,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.7,17019274,2,8509637.0,8509637.0,8255449,8763825,359476.1,  18  256  256, 256    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.7,16908643,80,211358.0,198384.5,187473,625775,69986.8,2560    1    1,1024    1    1,"void norm_f32<(int)1024>(const float *, float *, int, long long, long long, long long, float)"
0.7,16683458,10,1668345.8,1658830.5,496473,2091484,459078.4,   8  128    1, 256    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_256x128_32x3_tn_align2>(T1::Params)
0.6,16237453,113,143694.3,157940.0,41341,360867,102810.8,  36    1    1,  32    8    1,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.6,15680015,22,712728.0,695257.0,685514,1110760,89093.1,   2  512  128, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.6,14211452,84,169184.0,162915.0,150164,493530,48379.8,24576    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.5,11649915,40,291247.9,283530.0,139541,633391,154893.5,  36    1    1,  32    8    1,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.4,11199171,20,559958.6,560884.5,523352,585523,11071.2,  36 2048    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.4,11156099,20,557804.9,545190.0,534967,807233,59216.3,294912    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
