Generating SQLite file E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite from E:\flux\profiling\runs\nsys-season-001-v1\trace.nsys-rep
Processing [E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.0,899442095,320,2810756.5,2836405.0,139541,7098524,2147998.1,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
13.8,344500727,100,3445007.3,3325389.5,3260420,4192988,214057.4,"void flash_attn_ext_f16<(int)128, (int)128, (int)64, (int)1, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)"
8.5,213342457,64,3333475.9,2045743.5,5695,16790141,3890700.2,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
8.0,199168780,946,210537.8,225454.0,4575,1129769,196082.3,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
6.3,157550576,923,170694.0,103416.0,13215,1387028,203791.9,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
6.2,154817770,919,168463.3,165171.0,1920,1405618,161419.5,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
2.7,67840215,294,230749.0,315592.0,17663,764069,134165.6,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
2.5,62009933,217,285760.1,366435.0,768,1388307,253698.6,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
2.3,58018933,82,707548.0,696985.5,47357,1159462,137917.5,"void concat_cont<unsigned int, (int)0>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
2.0,50746558,400,126866.4,130502.0,103640,533751,34301.9,"void k_bin_bcast<&op_repeat, float, float, float, >(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.7,42975106,342,125658.2,49420.0,5568,586099,149927.4,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
1.5,38238606,167,228973.7,163187.0,41341,614446,152127.9,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
1.4,34711901,45,771375.6,489241.0,246125,3635779,793711.2,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_64x3_tn_align8>(T1::Params)
1.4,33979288,52,653447.8,328087.0,23070,3961385,816726.5,"void group_norm_f32<(int)1024>(const float *, float *, int, int, float)"
1.0,25213570,200,126067.9,127446.5,117142,330534,19918.0,"void cpy_scalar_contiguous<float, __half>(const char *, char *, long long)"
1.0,24673990,164,150451.2,156292.0,22494,625775,94901.6,"void norm_f32<(int)1024>(const float *, float *, int, long long, long long, long long, float)"
0.7,16883090,12,1406924.2,1656478.5,79674,2091484,738429.8,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_256x128_32x3_tn_align2>(T1::Params)
