
NOTICE: Existing SQLite export found: E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite
        It is assumed file was previously exported from: E:\flux\profiling\runs\nsys-season-001-v1\trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_trace.py]... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
841664273,2687,153,,,,,,,,,,0.008,3048.751,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
841704430,45820,156,,,,,,,,,,0.590,12872.319,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
841785063,356804,159,,,,,,,,,,4.719,13221.495,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
842150506,359940,162,,,,,,,,,,4.719,13108.249,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
842517165,79834,165,,,,,,,,,,1.049,13133.414,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
842627333,79961,168,,,,,,,,,,1.049,13113.491,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
842714014,355780,171,,,,,,,,,,4.719,13259.244,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
843141884,355748,174,,,,,,,,,,4.719,13259.244,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
843526238,354116,177,,,,,,,,,,4.719,13320.585,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
843889281,354020,180,,,,,,,,,,4.719,13325.304,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
844278307,354436,183,,,,,,,,,,4.719,13311.148,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
844669028,353796,186,,,,,,,,,,4.719,13334.741,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
845058053,354084,189,,,,,,,,,,4.719,13325.304,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
845447334,355012,192,,,,,,,,,,4.719,13287.555,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
845837864,353796,195,,,,,,,,,,4.719,13334.741,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
846226921,354308,198,,,,,,,,,,4.719,13315.867,Pinned,Device,NVIDIA GeForce RTX 5060 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
