
NOTICE: Existing SQLite export found: E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite
        It is assumed file was previously exported from: E:\flux\profiling\runs\nsys-season-001-v1\trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
33016,32420,0,82,81,297351535.0,297645497.5,71503,481194466,120738279.5,132887.2,3991.5,2932,10495080,1158444.6,300171756.9,297250324.0,25607674,480486717,116624671.6,707548.0,696985.5,47357,1159462,137917.5,cudaLaunchKernelExC_v11060,"void concat_cont<unsigned int, (int)0>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
33016,32420,0,1,1,261415962.0,261415962.0,261415962,261415962,0.0,11284.0,11284.0,11284,11284,0.0,259535032.0,259535032.0,259535032,259535032,0.0,1869646.0,1869646.0,1869646,1869646,0.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_h161616gemm_32x32_128x2_tn_align8>(T1::Params)
33016,32420,0,100,100,251328269.4,253506808.5,3321299,478693176,143978116.9,5482.7,4230.0,3160,37170,4431.7,251310850.3,253490966.0,3301572,478677795,143978091.5,11936.4,11935.0,11519,12415,121.3,cudaLaunchKernelExC_v11060,"void flash_attn_stream_k_fixup_general<(int)128, (int)64, (int)1>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
33016,32420,0,100,99,251321741.9,253497293.0,3276788,478684023,143977520.2,7635.7,4303.5,3155,138527,14393.7,250372851.0,250779103.0,7913108,475368965,142524636.5,3445007.3,3325389.5,3260420,4192988,214057.4,cudaLaunchKernelExC_v11060,"void flash_attn_ext_f16<(int)128, (int)128, (int)64, (int)1, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)"
33016,32420,0,200,200,247754782.6,249901321.5,6427906,475384836,143539021.6,5126.8,3938.0,2812,44584,3803.9,247623587.9,249773077.5,6300902,475249876,143538125.4,126067.9,127446.5,117142,330534,19918.0,cudaLaunchKernelExC_v11060,"void cpy_scalar_contiguous<float, __half>(const char *, char *, long long)"
33016,32420,0,400,400,246431865.7,248447190.0,3477870,488378694,143730716.9,205200.7,4074.0,2820,15772223,1666099.0,246099798.6,248314473.0,3362568,474461119,143419906.5,126866.4,130502.0,103640,533751,34301.9,cudaLaunchKernelExC_v11060,"void k_bin_bcast<&op_repeat, float, float, float, >(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
33016,32420,0,8,7,238421063.8,236298207.0,74921,485479163,253664824.6,7261.1,5094.0,4521,15072,4078.8,272398620.1,470812112.0,1370237,485407300,253473487.4,65382.9,65451.0,64379,65946,561.2,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align8>(T1::Params)
33016,32420,0,946,944,214517919.8,208243687.0,12254,488271871,155562669.6,5759.8,4085.0,2749,175124,7922.8,214755652.7,208187528.0,223,488023758,155375776.1,210537.8,225454.0,4575,1129769,196082.3,cudaLaunchKernelExC_v11060,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
33016,32420,0,923,923,201146148.6,177805258.0,109334,485160647,153756245.6,5352.0,4064.0,2723,82301,5405.4,200970102.6,177103886.0,88135,485057736,153722043.0,170694.0,103416.0,13215,1387028,203791.9,cudaLaunchKernelExC_v11060,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
33016,32420,0,294,294,176171551.0,128558757.0,70899,487807672,157095581.4,6343.1,4217.5,2885,108258,10054.3,175934458.9,128231389.5,24632,487487437,157008030.3,230749.0,315592.0,17663,764069,134165.6,cudaLaunchKernelExC_v11060,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
33016,32420,0,320,320,175548178.8,102191846.5,477019,487495547,151222298.0,5700.1,4292.0,2937,114414,7355.9,172731722.2,99075183.5,45396,481734548,149835226.7,2810756.5,2836405.0,139541,7098524,2147998.1,cudaLaunchKernel,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
33016,32420,0,164,164,174124705.2,100426479.0,312290,485004563,154575477.1,5969.6,4142.0,2764,63910,6154.9,173968284.5,100224384.0,152071,484859145,154529515.0,150451.2,156292.0,22494,625775,94901.6,cudaLaunchKernel,"void norm_f32<(int)1024>(const float *, float *, int, long long, long long, long long, float)"
33016,32420,0,342,341,162629936.5,91822713.5,59767,481755265,150017410.9,7805.2,4107.0,2911,660362,35859.4,162973006.1,91801731.0,47632,481173223,149902772.5,125658.2,49420.0,5568,586099,149927.4,cudaLaunchKernel,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
33016,32420,0,12,12,159184071.1,1553699.5,164223,485477316,233763059.1,6709.3,4565.5,3302,29167,7162.7,159133311.7,1448473.0,56988,485467221,233793809.5,44050.1,25822.0,4800,101817,43394.5,cudaLaunchKernel,"void convert_unary<__nv_bfloat16, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
33016,32420,0,12,9,159010444.3,1401866.0,104263,485488079,233879974.2,17289.0,4053.5,3685,69795,21682.4,211911556.3,1659011.0,74456,485380420,250135293.7,59838.1,71706.5,4832,103896,43011.5,cudaLaunchKernel,"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
33016,32420,0,919,919,157358036.3,87819031.0,9046,485389142,152050991.9,9506.3,4014.0,2675,3807292,125546.4,157180066.7,87600869.0,804,485318579,152003112.0,168463.3,165171.0,1920,1405618,161419.5,cudaLaunchKernelExC_v11060,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
33016,32420,0,217,216,146883939.3,78289937.0,5975,484992978,154172642.3,5731.0,4144.0,2923,53917,5476.1,147271120.5,77925832.0,1334,484984460,154076458.4,285760.1,366435.0,768,1388307,253698.6,cudaLaunchKernelExC_v11060,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
