rank,time_percent,total_time_ms,instances,average_us,median_us,min_us,max_us,kernel_name
1,36.0,899.442095,320,2810.7565,2836.405,139.541,7098.524,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
2,13.8,344.500727,100,3445.0072999999998,3325.3895,3260.42,4192.988,"void flash_attn_ext_f16<(int)128, (int)128, (int)64, (int)1, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)"
3,8.5,213.342457,64,3333.4759,2045.7435,5.695,16790.141,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
4,8.0,199.16878,946,210.53779999999998,225.454,4.575,1129.769,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
5,6.3,157.550576,923,170.694,103.416,13.215,1387.028,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
6,6.2,154.81777,919,168.46329999999998,165.171,1.92,1405.618,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
7,2.7,67.840215,294,230.749,315.592,17.663,764.069,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
8,2.5,62.009933,217,285.76009999999997,366.435,0.768,1388.307,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
9,2.3,58.018933,82,707.548,696.9855,47.357,1159.462,"void concat_cont<unsigned int, (int)0>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
10,2.0,50.746558,400,126.8664,130.502,103.64,533.751,"void k_bin_bcast<&op_repeat, float, float, float, >(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
11,1.7,42.975106,342,125.6582,49.42,5.568,586.099,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
12,1.5,38.238606,167,228.9737,163.187,41.341,614.446,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
13,1.4,34.711901,45,771.3756,489.241,246.125,3635.779,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_64x3_tn_align8>(T1::Params)
14,1.4,33.979288,52,653.4478,328.087,23.07,3961.385,"void group_norm_f32<(int)1024>(const float *, float *, int, int, float)"
15,1.0,25.21357,200,126.0679,127.4465,117.142,330.534,"void cpy_scalar_contiguous<float, __half>(const char *, char *, long long)"
16,1.0,24.67399,164,150.4512,156.292,22.494,625.775,"void norm_f32<(int)1024>(const float *, float *, int, long long, long long, long long, float)"
17,0.7,16.88309,12,1406.9242,1656.4785,79.674,2091.484,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_256x128_32x3_tn_align2>(T1::Params)
18,0.7,16.550255,64,258.59770000000003,154.164,2.816,1281.276,"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
19,0.3,6.654337,40,166.3584,166.115,164.467,168.723,"void concat_cont<unsigned int, (int)2>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
20,0.3,6.532406,27,241.941,224.91,221.038,659.435,"void soft_max_f32<(bool)1, (int)512, (int)512, float>(const float *, const T4 *, const float *, float *, soft_max_params)"
21,0.2,5.883143,22,267.4156,265.467,55.803,481.977,"void mul_mat_q<(ggml_type)14, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
22,0.2,4.897912,33,148.4216,157.108,1.024,328.23,"scale_f32(const float *, float *, float, float, long long)"
23,0.2,4.652338,29,160.4254,108.343,106.359,776.579,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_32x3_tn_align4>(T1::Params)
24,0.2,4.00753,20,200.3765,208.368,45.821,568.66,"void mul_mat_vec_f<__nv_bfloat16, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
25,0.2,3.915827,20,195.79139999999998,195.473,192.849,209.296,"void concat_non_cont<unsigned int, (int)2>(const char *, const char *, char *, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)"
26,0.2,3.833453,27,141.9797,126.326,124.31,556.116,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_tn_align4>(T1::Params)
27,0.1,2.184375,3,728.125,674.092,162.036,1348.247,"upscale_f32(const float *, float *, int, int, int, int, int, int, int, int, float, float, float, float)"
