metric_id,metric_name,samples,active_samples,active_min,active_median,active_mean,active_p95,active_max,active_nonzero_mean
0,GPC Clock Frequency [MHz],135666,61706,-1751030629,-1482417296.0,-1470652057.2322464,-1424330629.0,-1415130629,-1470652057.2322464
1,SYS Clock Frequency [MHz],135666,61706,-1958617296,-1768927296.0,-1777875432.485917,-1748187296.0,-1737417296,-1777875432.485917
2,Sync Copy Engine Active [Throughput %],135666,61706,0,0.0,0.020500437558746313,0.0,100,2.1961805555555554
3,Sync Copy Engine Active [Cycles Active],135666,61706,0,0.0,43.64008362233818,0.0,253289,4675.095486111111
4,Async Copy Engine Active 0 [Throughput %],135666,61706,0,0.0,2.4087608984539592,2.0,100,44.70225563909774
5,Async Copy Engine Active 0 [Cycles Active],135666,61706,0,0.0,6051.353450231744,5386.0,254726,112302.20030075188
6,GR Active [Throughput %],135666,61706,1,1.0,42.29645415356691,100.0,100,42.29645415356691
7,SMs Active [Throughput %],135666,61706,0,0.0,39.58600460246978,100.0,100,94.06554220579174
8,SM Issue [Throughput %],135666,61706,0,0.0,15.535069523223026,71.0,79,36.91777709312178
9,Tensor Active [Throughput %],135666,61706,0,0.0,7.830762000453765,36.0,100,34.62345944396675
10,Vertex/Tess/Geometry Warps in Flight [Throughput %],135666,61706,0,0.0,0.014131526917965837,0.0,1,1.0
11,Vertex/Tess/Geometry Warps in Flight [Avg],135666,61706,0,0.0,67.95253297896477,0.0,212142,4808.576834862385
12,Vertex/Tess/Geometry Warps in Flight [Avg Warps per Cycle],135666,61706,0,0.0,0.014131526917965837,0.0,1,1.0
13,Pixel Warps in Flight [Throughput %],135666,61706,0,0.0,0.4309629533594788,0.0,88,25.182765151515152
14,Pixel Warps in Flight [Avg],135666,61706,0,0.0,117014.89709266523,0.0,24115122,6837614.810606061
15,Pixel Warps in Flight [Avg Warps per Cycle],135666,61706,0,0.0,0.41367127994036235,0.0,85,24.172348484848484
16,Compute Warps in Flight [Throughput %],135666,61706,0,0.0,18.533692023466113,87.0,97,45.61423101467773
17,Compute Warps in Flight [Avg],135666,61706,0,0.0,4987463.50212297,23529948.0,26560014,12274905.187539885
18,Compute Warps in Flight [Avg Warps per Cycle],135666,61706,0,0.0,17.742423751336986,84.0,93,43.66679961710275
19,DRAM Read Bandwidth [Throughput %],135666,61706,0,2.0,11.163809029916054,50.0,96,12.136824115999225
20,DRAM Write Bandwidth [Throughput %],135666,61706,0,2.0,8.841036528052378,41.0,91,13.41361166433085
21,PCIe RX Throughput [Throughput %],135666,61706,0,0.0,2.3655884354843937,23.0,23,8.074957127842008
22,PCIe TX Throughput [Throughput %],135666,61706,1,1.0,1.004667293294007,1.0,24,1.004667293294007
23,PCIe Read Requests to BAR1 [Requests],135666,61706,0,0.0,0.0941723657342884,1.0,5,1.7776078311410217
24,PCIe Write Requests to BAR1 [Requests],135666,61706,-128,0.0,-0.10400933458658801,2.0,98,-0.7900049236829149
